,Type of Work:,Registration Number / Date:,Application Title:,Title:,Area Covered:,Description:,Copyright Claimant:,Date of Creation:,Date of Publication:,Authorship on Application:,Previous Registration:,Basis of Claim:,Copyright Note:,Variant title:,Other Title:,Names:,Edition:,Notes:,Series:,Scale:
486,['Text'],"['RE0000813267 / 1999-08-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB 1Jan68  ']",[],"['Sanborn Map Knoxville, Tennessee.  Vol. 1, 1968.  By Sanborn Map Company.']",[],[],"['Sanborn Library, LLC (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Sanborn Map Knoxville, Tennessee.']",[],"['Sanborn Map Company.', 'Sanborn Library, LLC']",[],[],[],[]
487,['Text'],"['RE0000813266 / 1999-08-13 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB 1Apr64  ']",[],"['Sanborn Map Knoxville, Tennessee.  Vol. 2, 1964.  By Sanborn Map Company.']",[],[],"['Sanborn Library, LLC (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Sanborn Map Knoxville, Tennessee.']",[],"['Sanborn Map Company.', 'Sanborn Library, LLC']",[],[],[],[]
488,['Text'],"['RE0000819803 / 2000-02-11 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan68  ']",[],"['Sanborn Map Knoxville, TN.  Vol. 1, 1968.  By Sanborn Map Company.']",[],[],"['Sanborn Library, LLC (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Sanborn Map Knoxville, TN.']",[],"['Sanborn Map Company.', 'Sanborn Library, LLC', 'Knoxville']",[],[],[],[]
489,['Text'],"['RE0000819808 / 2000-02-11 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB 1Jan64  ']",[],"['Sanborn Map Knoxville, TN.  Vol. 2, 1964.  By Sanborn Map Company.']",[],[],"['Sanborn Library, LLC (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Sanborn Map Knoxville, TN.']",[],"['Sanborn Map Company.', 'Sanborn Library, LLC', 'Knoxville']",[],[],[],[]
490,['Text'],"['RE0000758444 / 1997-07-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Dec65  ']",[],"['Sanborn Map Kokomo, Indiana 1965.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],['C.O. correspondence.'],"['Sanborn Map Kokomo, Indiana 1965.']","['Kokomo, Indiana 1965']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
491,['Text'],"['RE0000752818 / 1997-05-05 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / PUB approx. 1Dec65  ']",[],"['Sanborn map, La Crosse, Wisconsin.  Vol. 2, 1965.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Sanborn map, La Crosse, Wisconsin']","['La Crosse, Wisconsin']","['Sanborn Map Company', 'EDR Sanborn, Inc.']",[],[],[],[]
492,['Text'],"['RE0000754347 / 1997-04-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Oct65  ']",[],"['Sanborn Map La Jolla, California 1965.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],[],"['Sanborn Map La Jolla, California 1965']","['La Jolla, California 1965']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
493,['Text'],"['RE0000758443 / 1997-07-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Sep66  ']",[],"['Sanborn Map La Porte, Indiana 1966.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],['C.O. correspondence.'],"['Sanborn Map La Porte, Indiana 1966.']","['La Porte, Indiana 1966']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
494,['Text'],"['RE0000758421 / 1997-07-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan69  ']",[],"['Sanborn Map Lake Charles, Louisiana 1969.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],['C.O. correspondence.'],"['Sanborn Map Lake Charles, Louisiana 1969']","['Lake Charles, Louisiana 1969']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
495,['Text'],"['RE0000758422 / 1997-07-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan69  ']",[],"['Sanborn Map Lake Charles, Louisiana 1969.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],['C.O. correspondence.'],"['Sanborn Map Lake Charles, Louisiana 1969']","['Lake Charles, Louisiana 1969']","['Sanborn Map Company.', 'EDR Sanborn, Inc.']",[],[],[],[]
496,['Text'],"['RE0000758382 / 1997-07-16 ', 'Renewal registration for: Not reg.; addendum submitted under PL 102-307 / *PUB approx. 1Jan65  ']",[],"['Sanborn Map Lake Forest, Illinois 1965.  By Sanborn Map Company.']",[],[],"['EDR Sanborn, Inc. (PWH)']",[],[],[],[],['New Matter: new cartographic additions & revisions.'],['C.O. correspondence.'],"['Sanborn Map Lake Forest, Illinois 1965.']","['Lake Forest, Illinois 1965']","['Sanborn Map Company', 'EDR Sanborn, Inc.']",[],[],[],[]
